id,name,description,groupID,difficulty,groupName,monsterNum,staminaCost,dailyLimit,expAward,coinAward,stance1,stance2,stance3,stance4,stance5,stance6,stance7,stance8,stance9,stance10,stance11,stance12,stance13,stance14,stance15,stance16,stance17,stance18,stance19,stance20,stance21,stance22,stance23,stance24,monsterLv,levelMonster,expAwardBoss,coinAwardBoss,battleBefore,battleing,battleAfter,mapId,stageId,head,tfOpenTowers,monster,siegeId,zhanPaoSkills,zhanPao,skillNum,clearanceAwardString,rareAwardString,spAwardString,awardIdtring,
50001,初来乍到,,1,0,初来乍到,1,1,0,0,0,120001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50002,初来乍到,,1,0,初来乍到,1,1,0,0,0,120002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50003,初来乍到,,1,0,初来乍到,1,1,0,0,0,120003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50004,初来乍到,,1,0,初来乍到,1,1,0,0,0,120004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50005,初来乍到,,1,0,初来乍到,1,1,0,0,0,120005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50006,初来乍到,,1,0,初来乍到,1,0,0,0,0,120006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,0,0,,,,0,0,,,,1,,,0,7:40181:3200|7:47065:250|7:41004:400,,,,
50007,大胆尝试,,2,0,大胆尝试,1,1,0,0,0,120007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50008,大胆尝试,,2,0,大胆尝试,1,1,0,0,0,120008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50009,大胆尝试,,2,0,大胆尝试,1,1,0,0,0,120009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50010,大胆尝试,,2,0,大胆尝试,1,1,0,0,0,120010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50011,大胆尝试,,2,0,大胆尝试,1,1,0,0,0,120011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50012,大胆尝试,,2,0,大胆尝试,1,0,0,0,0,120012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,0,0,,,,0,0,,,,2,,,0,7:40181:3200|7:47065:250|7:41004:400,,,,
50013,供应危机,,3,0,供应危机,1,1,0,0,0,120013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50014,供应危机,,3,0,供应危机,1,1,0,0,0,120014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50015,供应危机,,3,0,供应危机,1,1,0,0,0,120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
50016,供应危机,,3,0,供应危机,1,1,0,0,0,120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,0,0,,,,0,0,,,,0,,,0,7:47065:570|7:49891:2|7:41006:10,,,,
